Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
DataConversion,UnitTesting,2,0.5,0,0,0,0,,,Co-occurrence threshold,10
DataMining,Oracle,1,5.67E-04,0,0,0,0,,,Pass1link,3
Assurance,Reporting,50,1.54E-04,0,0,0,0,,,Pass2link,5
SPSS,Python,5,1.95E-04,0,0,0,0,,,,
Assurance,EDI,15,0.002265222,0,0,1,0,,,,
R,C++,1,2.02E-05,0,0,0,0,,,,
Analyst,OracleSQL,4,5.55E-05,0,0,0,0,,,,
Network,DataMining,1,4.75E-05,0,0,0,0,,,,
Marketing,Architect,6,1.98E-05,0,0,0,0,,,,
Oracle,Spring,2,0.002267574,0,0,0,0,,,,
Marketing,Perl,1,1.98E-05,0,0,0,0,,,,
BusinessIntelligence,SSRS,4,2.97E-04,0,0,0,0,,,,
Statistics,ProductManagement,1,9.39E-04,0,0,0,0,,,,
Analyst,Azure,1,1.39E-05,0,0,0,0,,,,
DataWarehouse,Pentaho,1,5.70E-04,0,0,0,0,,,,
WebAnalytics,SPSS,13,3.40E-04,6,3,0,0,,,,
Math,MachineLearning,2,0.012307692,0,0,0,0,,,,
Windows,ActiveDirectory,3,0.050000001,0,0,0,0,,,,
Java,MachineLearning,2,0.004444445,0,0,0,0,,,,
React,CommandLine,1,0.083333336,0,0,0,0,,,,
Tableau,ETL,3,2.37E-04,0,0,0,0,,,,
MySQL,DataVisualization,1,0.333333343,0,0,0,0,,,,
Marketing,Spark,1,1.32E-05,0,0,0,0,,,,
Design,SaaS,1,3.29E-06,0,0,0,0,,,,
Security,IPhone,2,0.009259259,0,0,0,0,,,,
GO,JavaScript,6,5.13E-04,0,0,0,0,,,,
React,REST,1,0.020833334,0,0,0,0,,,,
CRM,Pentaho,2,1.87E-04,0,0,0,0,,,,
Network,JavaScript,2,1.50E-05,0,0,0,0,,,,
SPSS,VBA,14,0.001745854,0,0,1,0,,,,
ProjectManagement,CSS,3,0.00177305,0,0,0,0,,,,
R,DataScience,4,4.32E-04,0,0,0,0,,,,
CRM,DataWarehouse,5,1.50E-04,0,0,0,0,,,,
BusinessIntelligence,Database,6,1.35E-05,0,0,0,0,,,,
Statistics,Tools,4,5.22E-04,0,0,0,0,,,,
WebAnalytics,VBA,11,7.65E-04,0,0,0,0,,,,
SQL,Pig,1,1.44E-04,0,0,0,0,,,,
SQL,BuildAutomation,2,2.88E-04,0,0,0,0,,,,
Marketing,Visio,15,2.48E-04,0,0,0,0,,,,
VBA,Python,3,2.20E-04,0,0,0,0,,,,
Programming,StatisticalAnalysis,3,8.91E-05,0,0,0,0,,,,
MapReduce,Hadoop,2,0.013333334,0,0,0,0,,,,
SAS,Analysis,90,5.29E-05,0,0,0,0,,,,
GO,Network,7,6.04E-05,0,0,0,0,,,,
Programming,Solaris,1,0.001960784,0,0,0,0,,,,
Cloud,Hardware,3,0.002511161,0,0,0,0,,,,
Design,Cassandra,1,1.64E-04,0,0,0,0,,,,
Network,Oracle,3,3.49E-05,0,0,0,0,,,,
Monitoring,Finance,31,5.21E-05,0,0,0,0,,,,
Reporting,EDI,16,3.81E-04,0,0,0,0,,,,
Assurance,Networking,1,2.68E-05,0,0,0,0,,,,
WebAnalytics,Python,1,5.53E-06,0,0,0,0,,,,
Analytic,DataDriven,1,1.06E-04,0,0,0,0,,,,
REST,CommandLine,1,0.25,0,0,0,0,,,,
BusinessIntelligence,Oracle,7,1.85E-04,0,0,0,0,,,,
MsOffice,BigData,1,1.07E-05,0,0,0,0,,,,
Analytics,DataWarehouse,9,5.33E-05,0,0,0,0,,,,
Analysis,Azure,1,4.01E-05,0,0,0,0,,,,
Statistics,R,22,0.001103594,0,0,0,0,,,,
Programming,Math,2,6.03E-04,0,0,0,0,,,,
BusinessIntelligence,Network,3,2.85E-06,0,0,0,0,,,,
Security,Developer,1,1.04E-05,0,0,0,0,,,,
ETL,OLAP,1,0.001736111,0,0,0,0,,,,
SQL,DataManagement,8,7.61E-05,0,0,0,0,,,,
BusinessIntelligence,GO,12,1.73E-04,7,2,0,0,,,,
SAS,Azure,1,1.63E-04,0,0,0,0,,,,
SPSS,Finance,4,2.13E-06,0,0,0,0,,,,
Reporting,Scrum,6,6.13E-05,0,0,0,0,,,,
Finance,PciDss,1,7.92E-05,0,0,0,0,,,,
Windows,MsOffice,1,5.45E-05,0,0,0,0,,,,
SPSS,Monitoring,9,9.33E-05,0,0,0,0,,,,
Analysis,OracleSQL,4,1.61E-04,0,0,0,0,,,,
VBA,Jira,2,0.01058201,0,0,0,0,,,,
Assurance,HTTP,1,3.22E-04,0,0,0,0,,,,
GO,Database,11,1.77E-04,0,0,0,0,,,,
Tools,R,11,4.08E-04,0,0,0,0,,,,
Database,Network,24,2.21E-04,0,0,0,0,,,,
Statistics,DataScience,1,2.61E-04,0,0,0,0,,,,
Analytics,CRM,28,4.23E-05,0,0,0,0,,,,
Database,Oracle,5,1.15E-04,0,0,0,0,,,,
Analytic,LeSS,6,2.25E-04,0,0,0,0,,,,
StatisticalAnalysis,Math,2,0.001554002,0,0,0,0,,,,
Development,Confluence,2,9.87E-05,0,0,0,0,,,,
SQL,ApacheSpark,2,2.88E-04,0,0,0,0,,,,
Finance,VBA,9,3.39E-05,0,0,0,0,,,,
StatisticalAnalysis,MachineLearning,2,8.08E-04,0,0,0,0,,,,
Tableau,OLAP,1,0.001683502,0,0,0,0,,,,
Monitoring,VBA,15,8.14E-04,0,0,0,0,,,,
Database,DataMining,1,5.62E-05,0,0,0,0,,,,
ProjectManagement,RiskManagement,4,3.86E-05,0,0,0,0,,,,
BusinessIntelligence,JavaScript,4,5.85E-05,0,0,0,0,,,,
Database,Spring,1,5.62E-05,0,0,0,0,,,,
Development,Git,1,4.93E-05,0,0,0,0,,,,
Maven,UML,1,0.333333343,0,0,0,0,,,,
ComputerScience,AWS,1,0.008333334,0,0,0,0,,,,
Reporting,PLSQL,1,9.54E-05,0,0,0,0,,,,
Analytics,MongoDB,1,7.70E-05,0,0,0,0,,,,
DataAnalysis,UX,2,0.002005012,0,0,0,0,,,,
Finance,ReportingServices,1,7.92E-05,0,0,0,0,,,,
WebAnalytics,Monitoring,6,2.94E-05,0,0,0,0,,,,
WebAnalytics,Finance,3,8.51E-07,0,0,0,0,,,,
BusinessIntelligence,DataMining,1,4.63E-05,0,0,0,0,,,,
Monitoring,S3,4,0.001563416,0,0,0,0,,,,
Developer,MySQL,1,5.01E-04,0,0,0,0,,,,
Developer,HTML,2,1.18E-04,0,0,0,0,,,,
Assurance,Scrum,5,2.88E-04,0,0,0,0,,,,
Finance,Python,2,1.47E-06,0,0,0,0,,,,
Analytics,Pentaho,5,1.28E-04,0,0,0,0,,,,
SAS,Analyst,104,2.44E-05,0,0,0,0,,,,
Excel,Design,109,5.47E-04,0,0,0,0,,,,
GO,SSRS,3,6.49E-04,0,0,0,0,,,,
Analyst,Analysis,425,1.01E-04,0,0,0,0,,,,
SQL,Storage,3,1.62E-04,0,0,0,0,,,,
R,ProductManagement,1,9.71E-05,0,0,0,0,,,,
Database,JavaScript,3,4.00E-05,0,0,0,0,,,,
BusinessIntelligence,Spring,1,4.63E-05,0,0,0,0,,,,
SQL,CRM,23,5.33E-05,0,0,0,0,,,,
PHP,jQuery,5,0.148809522,0,0,0,0,,,,
MySQL,Maven,1,0.333333343,0,0,0,0,,,,
UX,UI,1,0.028571429,0,0,0,0,,,,
UserInterface,UML,1,0.166666672,0,0,0,0,,,,
Analytic,Adobe,22,1.72E-04,0,0,0,0,,,,
Analytics,ApacheSpark,2,1.54E-04,0,0,0,0,,,,
Analysis,Troubleshooting,1,2.01E-05,0,0,0,0,,,,
Shell,Linux,1,0.25,0,0,0,0,,,,
Finance,SystemAdministration,1,7.92E-05,0,0,0,0,,,,
SQL,DataWarehouse,9,9.96E-05,0,0,0,0,,,,
