Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
Statistics,MsOffice,5,0.001866786,0,0,0,0,,,Co-occurrence Threshold,10
R,BigData,4,1.64E-04,0,0,0,0,,,Pass1link,3
VBA,jQuery,3,0.009615385,0,0,0,0,,,Pass2link,5
DataConversion,UnitTesting,2,0.5,0,0,0,0,,,,
DataMining,Oracle,1,0.006802721,0,0,0,0,,,,
SQL,MsAccess,4,0.001169591,0,0,0,0,,,,
Assurance,Reporting,14,1.10E-04,6,2,0,0,,,,
SPSS,Python,2,4.21E-04,0,0,0,0,,,,
Assurance,EDI,4,0.001724138,0,0,0,0,,,,
R,C++,1,9.58E-05,0,0,0,0,,,,
Marketing,Architect,4,3.37E-05,0,0,0,0,,,,
Windows,R,2,1.28E-04,0,0,0,0,,,,
Oracle,Spring,1,0.00255102,0,0,0,0,,,,
BusinessIntelligence,SSRS,1,1.33E-04,0,0,0,0,,,,
Statistics,ProductManagement,1,0.005376344,0,0,0,0,,,,
DataWarehouse,Pentaho,1,0.00154321,0,0,0,0,,,,
WebAnalytics,SPSS,7,6.25E-04,0,0,0,0,,,,
Math,MachineLearning,2,0.044444446,0,0,0,0,,,,
Windows,ActiveDirectory,2,0.055555556,0,0,0,0,,,,
WebAnalytics,jQuery,4,0.004489338,0,0,0,0,,,,
React,CommandLine,1,0.333333343,0,0,0,0,,,,
Tableau,ETL,2,4.63E-04,0,0,0,0,,,,
MySQL,DataVisualization,1,0.5,0,0,0,0,,,,
BigData,DataScience,1,0.001488095,0,0,0,0,,,,
Design,SaaS,1,3.96E-05,0,0,0,0,,,,
Analytics,Architect,4,7.16E-05,0,0,0,0,,,,
GO,JavaScript,3,0.001041667,0,0,0,0,,,,
React,REST,1,0.166666672,0,0,0,0,,,,
Design,MATLAB,4,3.16E-04,0,0,0,0,,,,
Python,jQuery,1,0.002314815,0,0,0,0,,,,
CRM,Pentaho,1,1.23E-04,0,0,0,0,,,,
SPSS,VBA,7,0.002379565,0,0,0,0,,,,
ProjectManagement,CSS,1,0.001461988,0,0,0,0,,,,
R,DataScience,1,1.92E-04,0,0,0,0,,,,
CRM,DataWarehouse,3,2.45E-04,0,0,0,0,,,,
BusinessIntelligence,Database,3,2.36E-05,0,0,0,0,,,,
Excel,Cloud,1,3.94E-05,0,0,0,0,,,,
Statistics,Tools,2,5.97E-04,0,0,0,0,,,,
WebAnalytics,VBA,4,6.91E-04,0,0,0,0,,,,
Marketing,Analytics,46,4.04E-05,0,0,0,0,,,,
SQL,Pig,1,3.65E-04,0,0,0,0,,,,
Marketing,Visio,4,1.01E-04,0,0,0,0,,,,
SPSS,jQuery,3,0.002840909,0,0,0,0,,,,
MapReduce,Hadoop,2,0.028571429,0,0,0,0,,,,
SAS,Analysis,43,7.40E-05,0,0,0,0,,,,
GO,Network,5,2.45E-04,0,0,0,0,,,,
Analysis,CustomerSupport,4,2.68E-05,0,0,0,0,,,,
Programming,Solaris,1,0.005263158,0,0,0,0,,,,
Cloud,Hardware,2,0.007936508,0,0,0,0,,,,
Design,Cassandra,1,3.96E-04,0,0,0,0,,,,
Monitoring,Finance,9,2.79E-05,0,0,0,0,,,,
Reporting,EDI,5,3.27E-04,0,0,0,0,,,,
C,Analysis,12,7.34E-05,0,0,0,0,,,,
Development,LeSS,2,9.16E-05,0,0,0,0,,,,
ComputerScience,Couchbase,1,0.020833334,0,0,0,0,,,,
WebAnalytics,Python,1,9.35E-05,0,0,0,0,,,,
SAS,C,5,3.71E-05,0,0,0,0,,,,
Analytic,DataDriven,1,2.96E-04,0,0,0,0,,,,
REST,CommandLine,1,0.5,0,0,0,0,,,,
BusinessIntelligence,Oracle,5,6.10E-04,0,0,0,0,,,,
Analytics,DataWarehouse,4,5.97E-05,0,0,0,0,,,,
Statistics,R,13,0.00208874,2,1,0,0,,,,
Programming,Math,1,8.77E-04,0,0,0,0,,,,
Analytic,D3,1,2.96E-04,0,0,0,0,,,,
ETL,OLAP,1,0.005208333,0,0,0,0,,,,
SQL,DataManagement,3,7.48E-05,0,0,0,0,,,,
BusinessIntelligence,GO,4,1.06E-04,0,0,0,0,,,,
Marketing,CRM,19,5.03E-05,7,3,0,0,,,,
SPSS,Finance,1,7.11E-07,0,0,0,0,,,,
Agile,Developer,2,1.30E-04,0,0,0,0,,,,
Reporting,Scrum,1,1.63E-05,0,0,0,0,,,,
Windows,MsOffice,1,1.93E-04,0,0,0,0,,,,
SPSS,Monitoring,6,2.51E-04,0,0,0,0,,,,
ProductManagement,BigData,1,0.004464286,0,0,0,0,,,,
Visio,DataWarehouse,1,0.001234568,0,0,0,0,,,,
Assurance,HTTP,1,0.001077586,0,0,0,0,,,,
