Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
Design,Security,1,3.72E-04,0,0,0,0,,,Co-occurrence Threshold,2
Development,Cloud,1,1.96E-04,0,0,0,0,,,Pass1link,3
R,BigData,1,5.39E-04,0,0,0,0,,,Pass2link,5
Development,SPSS,1,6.24E-05,0,0,0,0,,,,
SAS,Marketing,1,1.16E-05,0,0,0,0,,,,
Programming,Statistics,1,0.011111111,0,0,0,0,,,,
Security,HTML,1,0.027777778,0,0,0,0,,,,
Marketing,Analysis,3,1.89E-05,0,0,0,0,,,,
BusinessAnalytic,R,1,0.00862069,0,0,0,0,,,,
Development,Hardware,2,3.43E-04,0,0,0,0,,,,
Assurance,Reporting,2,3.97E-04,6,3,0,0,,,,
SPSS,Python,1,0.003787879,0,0,0,0,,,,
Programming,Pig,1,0.100000001,0,0,0,0,,,,
Marketing,C,1,4.17E-05,0,0,0,0,,,,
Analytic,Security,1,4.43E-04,0,0,0,0,,,,
Analytic,Hive,1,0.005319149,0,0,0,0,,,,
Marketing,Architect,1,1.85E-04,0,0,0,0,,,,
Windows,R,1,7.18E-04,0,0,0,0,,,,
Reporting,Oracle,1,2.27E-04,0,0,0,0,,,,
Excel,VBA,2,0.006666667,0,0,0,0,,,,
Agile,Design,1,4.06E-04,0,0,0,0,,,,
Network,VersionControl,1,0.012345679,0,0,0,0,,,,
SQL,StatisticalAnalysis,1,0.00154321,0,0,0,0,,,,
Reporting,GO,1,2.65E-04,0,0,0,0,,,,
GO,ProjectManagement,1,0.002777778,0,0,0,0,,,,
Development,Excel,5,3.43E-04,0,0,0,0,,,,
Analytic,MATLAB,1,0.001329787,0,0,0,0,,,,
SAS,Analytics,2,1.27E-04,0,0,0,0,,,,
Analysis,Analytics,2,2.30E-05,0,0,0,0,,,,
Design,Monitoring,1,8.75E-05,0,0,0,0,,,,
Database,Scrum,1,0.003205128,0,0,0,0,,,,
Design,Finance,2,4.36E-05,0,0,0,0,,,,
ProjectManagement,Oracle,1,0.002380952,0,0,0,0,,,,
Programming,SQL,1,9.26E-04,0,0,0,0,,,,
Analytics,Architect,1,5.07E-04,0,0,0,0,,,,
Analysis,Visio,1,0.001257862,0,0,0,0,,,,
C,Analytics,1,1.14E-04,0,0,0,0,,,,
Development,Developer,1,7.63E-05,0,0,0,0,,,,
Design,MATLAB,1,0.001116071,0,0,0,0,,,,
StatisticalAnalysis,Statistics,1,0.018518519,0,0,0,0,,,,
Analytic,Monitoring,1,1.04E-04,0,0,0,0,,,,
SPSS,VBA,1,0.007575758,0,0,0,0,,,,
CRM,DataWarehouse,1,0.001633987,0,0,0,0,,,,
SQL,Statistics,2,0.004115226,0,0,0,0,,,,
Analyst,Tableau,2,1.36E-04,0,0,0,0,,,,
Analysis,Prototype,1,0.001257862,0,0,0,0,,,,
Excel,SPSS,1,4.55E-04,0,0,0,0,,,,
Marketing,Analytics,2,3.04E-05,0,0,0,0,,,,
SQL,Pig,1,0.009259259,0,0,0,0,,,,
Reporting,ProjectManagement,2,4.23E-04,0,0,0,0,,,,
Analyst,DataWarehouse,1,4.54E-05,0,0,0,0,,,,
Tableau,CRM,1,0.00122549,0,0,0,0,,,,
Development,VBA,1,2.29E-04,0,0,0,0,,,,
Agile,Finance,1,2.22E-04,0,0,0,0,,,,
Analyst,CVS,2,8.16E-04,0,0,0,0,,,,
SAS,Analysis,1,8.74E-06,0,0,0,0,,,,
Design,HTML,1,0.001488095,0,0,0,0,,,,
Cloud,Hardware,1,0.008928572,0,0,0,0,,,,
BusinessAnalytic,BigData,1,0.0625,0,0,0,0,,,,
Statistics,Pig,1,0.111111112,0,0,0,0,,,,
Monitoring,Finance,1,4.78E-05,0,0,0,0,,,,
C,Architect,1,0.002777778,0,0,0,0,,,,
C,Analysis,1,3.14E-05,0,0,0,0,,,,
Monitoring,MATLAB,1,0.004901961,0,0,0,0,,,,
Analytic,HTML,1,0.00177305,0,0,0,0,,,,
Analysis,Architect,1,1.40E-04,0,0,0,0,,,,
SAS,C,1,1.74E-04,0,0,0,0,,,,
Tableau,DataWarehouse,1,0.009259259,0,0,0,0,,,,
SAS,Architect,1,7.72E-04,0,0,0,0,,,,
Assurance,GO,1,0.002604167,0,0,0,0,,,,
C,CustomerSupport,1,0.00125,0,0,0,0,,,,
Analyst,CRM,2,2.40E-05,0,0,0,0,,,,
Analytic,Design,3,2.14E-04,0,0,0,0,,,,
BusinessIntelligence,Oracle,1,7.68E-04,0,0,0,0,,,,
Design,VBA,1,7.44E-04,0,0,0,0,,,,
Analytics,DataWarehouse,1,5.07E-04,0,0,0,0,,,,
Statistics,R,2,0.003831418,0,0,1,1,,,,
Programming,BigData,1,0.00625,0,0,0,0,,,,
SPSS,MATLAB,1,0.011363637,0,0,0,0,,,,
R,Pig,1,0.00862069,0,0,0,0,,,,
Marketing,CRM,2,9.80E-05,8,1,0,0,,,,
Programming,BusinessAnalytic,1,0.100000001,0,0,0,0,,,,
Analytic,VBA,1,8.87E-04,0,0,0,0,,,,
Agile,Developer,1,0.005050505,0,0,0,0,,,,
Reporting,Scrum,1,3.97E-04,0,0,0,0,,,,
Analytics,Tableau,2,0.00152207,5,1,0,0,,,,
Windows,MsOffice,2,0.027777778,2,1,0,0,,,,
SPSS,Monitoring,1,8.91E-04,0,0,0,0,,,,
Monitoring,Cloud,1,0.002801121,0,0,0,0,,,,
Analyst,Indexing,1,4.08E-04,0,0,0,0,,,,
Analyst,Marketing,5,1.70E-05,0,0,0,0,,,,
Monitoring,Hardware,1,0.00122549,0,0,0,0,,,,
Assurance,BusinessIntelligence,1,3.36E-04,0,0,0,0,,,,
Marketing,DataWarehouse,1,1.85E-04,0,0,0,0,,,,
GO,Database,1,0.002136752,0,0,0,0,,,,
Analytic,Python,1,4.43E-04,0,0,0,0,,,,
Analyst,Visio,1,4.08E-04,0,0,0,0,,,,
Finance,Developer,1,1.36E-04,0,0,0,0,,,,
Development,Analytic,2,2.92E-05,0,0,0,0,,,,
Excel,MATLAB,1,0.0025,0,0,0,0,,,,
SQL,R,2,3.19E-04,0,0,0,0,,,,
Analytics,CRM,1,6.72E-05,0,0,0,0,,,,
Excel,Monitoring,1,1.96E-04,0,0,0,0,,,,
Database,Networking,1,0.008547009,0,0,0,0,,,,
VersionControl,VMware,1,1,0,0,0,0,,,,
Assurance,Database,1,8.01E-04,0,0,0,0,,,,
Development,HTML,1,4.58E-04,0,0,0,0,,,,
Excel,Finance,1,2.44E-05,0,0,0,0,,,,
Marketing,Tableau,2,5.56E-04,0,0,1,0,,,,
Security,Hardware,1,0.005208333,0,0,0,0,,,,
Development,Design,3,5.52E-05,0,0,0,0,,,,
Analyst,Analytics,2,7.46E-06,0,0,0,0,,,,
SPSS,Hive,1,0.045454547,0,0,0,0,,,,
Analytic,SPSS,2,9.67E-04,0,0,0,0,,,,
SAS,CVS,1,0.003472222,0,0,0,0,,,,
BusinessIntelligence,ProjectManagement,1,3.58E-04,0,0,0,0,,,,
Analysis,DataWarehouse,1,1.40E-04,0,0,0,0,,,,
Monitoring,VBA,1,0.003267974,0,0,0,0,,,,
Network,VMware,1,0.012345679,0,0,0,0,,,,
SQL,BigData,1,5.79E-04,0,0,0,0,,,,
SAS,DataWarehouse,1,7.72E-04,0,0,0,0,,,,
C,Tableau,1,0.002083333,0,0,0,0,,,,
Tableau,Architect,1,0.009259259,0,0,0,0,,,,
Analysis,CVS,1,6.29E-04,0,0,0,0,,,,
Development,Agile,1,1.25E-04,0,0,0,0,,,,
SQL,BusinessAnalytic,1,0.009259259,0,0,0,0,,,,
SPSS,Design,1,2.03E-04,0,0,0,0,,,,
Reporting,Database,2,3.26E-04,0,0,0,1,,,,
Analyst,Prototype,1,4.08E-04,0,0,0,0,,,,
Analysis,Tableau,2,4.19E-04,0,0,0,0,,,,
Development,Security,2,4.58E-04,0,0,0,0,,,,
Python,Hive,1,0.083333336,0,0,0,0,,,,
DataWarehouse,Architect,1,0.012345679,0,0,0,0,,,,
SAS,Tableau,1,5.79E-04,0,0,0,0,,,,
StatisticalAnalysis,R,1,0.001436782,0,0,0,0,,,,
VBA,MATLAB,1,0.041666668,0,0,0,0,,,,
C,DataWarehouse,1,0.002777778,0,0,0,0,,,,
Analyst,C,4,1.63E-04,0,0,0,0,,,,
GO,Scrum,1,0.010416667,0,0,0,0,,,,
Finance,LeSS,1,0.002439024,0,0,0,0,,,,
Analyst,Architect,1,4.54E-05,0,0,0,0,,,,
Design,Developer,1,2.48E-04,0,0,0,0,,,,
Development,MATLAB,1,3.43E-04,0,0,0,0,,,,
Excel,Analytic,1,5.32E-05,0,0,0,0,,,,
Monitoring,LeSS,1,0.019607844,0,0,0,0,,,,
BigData,Pig,1,0.0625,0,0,0,0,,,,
BusinessAnalytic,Statistics,1,0.111111112,0,0,0,0,,,,
SAS,CRM,1,1.02E-04,0,0,0,0,,,,
MsOffice,R,1,7.18E-04,0,0,0,0,,,,
Analysis,CRM,1,1.85E-05,0,0,0,0,,,,
Programming,R,1,8.62E-04,0,0,0,0,,,,
Statistics,BigData,1,0.006944444,0,0,0,0,,,,
Database,ProjectManagement,1,8.55E-04,0,0,0,0,,,,
BusinessAnalytic,Pig,1,1,0,0,0,0,,,,
Analyst,CustomerSupport,2,8.16E-05,0,0,0,0,,,,
C,CRM,1,3.68E-04,0,0,0,0,,,,
Assurance,Scrum,1,0.00390625,0,0,0,0,,,,
CRM,Architect,1,0.001633987,0,0,0,0,,,,
Excel,Design,2,1.79E-04,0,0,0,0,,,,
SAS,Analyst,2,1.13E-05,0,0,0,0,,,,
Development,Finance,3,3.02E-05,0,0,0,0,,,,
Analyst,Analysis,14,1.01E-04,0,0,0,0,,,,
Development,Monitoring,2,1.08E-04,0,0,0,0,,,,
Reporting,BusinessIntelligence,3,3.07E-04,0,0,0,0,,,,
Agile,Scrum,1,0.011363637,0,0,0,0,,,,
Reporting,Developer,1,1.76E-04,0,0,0,0,,,,
Analytic,BusinessIntelligence,1,5.72E-05,0,0,0,0,,,,
Analytics,R,2,1.57E-04,0,0,0,0,,,,
SQL,CRM,1,1.36E-04,0,0,0,0,,,,
SPSS,ProjectManagement,1,0.001515151,0,0,0,0,,,,
Statistics,DataWarehouse,1,0.012345679,0,0,0,0,,,,
Excel,Reporting,5,7.94E-04,0,0,0,0,,,,
Design,BusinessIntelligence,1,4.80E-05,0,0,0,0,,,,
SQL,Analyst,2,1.51E-05,0,0,0,0,,,,
Statistics,Tableau,1,0.009259259,0,0,0,0,,,,
VBA,Oracle,1,0.011904762,0,0,0,0,,,,
Monitoring,VMware,1,0.019607844,0,0,0,0,,,,
SAS,BusinessAnalytic,1,0.006944444,0,0,0,0,,,,
Statistics,CRM,1,0.001633987,0,0,0,0,,,,
Development,Oracle,1,9.81E-05,0,0,0,0,,,,
Development,Network,2,6.78E-05,0,0,0,0,,,,
SQL,DataWarehouse,1,0.001028807,0,0,0,0,,,,
Marketing,R,1,1.44E-05,0,0,0,0,,,,
SAS,BigData,1,4.34E-04,0,0,0,0,,,,
C,Windows,1,0.002083333,0,0,0,0,,,,
Excel,ProjectManagement,3,0.003,0,0,0,1,,,,
Analyst,BusinessObjects,1,6.80E-05,0,0,0,0,,,,
Development,GO,2,4.58E-04,0,0,1,0,,,,
Hardware,VersionControl,1,0.0625,0,0,0,0,,,,
Analyst,Statistics,2,1.81E-04,0,0,0,0,,,,
SQL,Tableau,1,7.72E-04,0,0,0,0,,,,
Design,Database,1,1.14E-04,0,0,0,0,,,,
Finance,Scrum,1,3.05E-04,0,0,0,0,,,,
SPSS,Reporting,1,1.44E-04,0,0,0,0,,,,
Analytic,Hadoop,1,5.32E-04,0,0,0,0,,,,
Windows,CustomerSupport,2,0.016666668,2,2,0,0,,,,
Cloud,VersionControl,1,0.142857149,0,0,0,0,,,,
Development,Assurance,1,4.29E-05,0,0,0,0,,,,
SAS,R,3,5.39E-04,0,0,0,0,,,,
StatisticalAnalysis,Tableau,1,0.013888889,0,0,0,0,,,,
Agile,Database,1,0.002331002,0,0,0,0,,,,
